loc_rowid,pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2
961,HD 28109 b,Transit,2022,22.89104000,0.00035000,-0.00036000,0,0.135700,0.003400,-0.003400,0,2.199,0.098,-0.100,0,18.49600,9.12000,-7.60900,0,0.330700,,,1,16.23,,,0,881,8,-8,0,6120.00,50.00,-50.00,0,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,0.456,0.024,-0.014,0,139.6110000,0.4290000,-0.4270000
962,HD 28109 c,Transit,2022,56.00819000,0.00194000,-0.00202000,0,0.308000,0.011000,-0.011000,0,4.230,0.110,-0.110,0,7.94300,4.22700,-3.04600,0,0.120300,,,1,22.88,,,0,585,9,-8,0,6120.00,50.00,-50.00,0,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,0.456,0.024,-0.014,0,139.6110000,0.4290000,-0.4270000
963,HD 28109 d,Transit,2022,84.25999000,0.00744000,-0.00662000,0,0.411000,0.016000,-0.016000,0,3.250,0.110,-0.110,0,5.68100,2.73800,-2.11000,0,0.086400,,,1,17.37,,,0,506,9,-8,0,6120.00,50.00,-50.00,0,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,0.456,0.024,-0.014,0,139.6110000,0.4290000,-0.4270000
964,HD 28185 b,Radial Velocity,2001,385.52775000,0.04362000,-0.05554000,0,1.035000,0.042000,-0.046000,0,12.800,,,0,1855.16441,154.46461,-162.09249,0,0.055000,0.004000,-0.003000,0,,,,,,,,,5662.00,11.00,-11.00,0,1.03,0.01,-0.01,0,0.99,0.13,-0.13,0,0.016,0.001,-0.001,0,39.3809000,0.0637000,-0.0636000
965,HD 28185 c,Radial Velocity,2022,17417.92079000,293.05032000,-672.59695000,0,13.176000,0.518000,-0.689000,0,12.100,,,0,6241.83209,720.19917,-679.19931,0,0.120000,0.021000,-0.022000,0,,,,,,,,,5662.00,11.00,-11.00,0,1.03,0.01,-0.01,0,0.99,0.13,-0.13,0,0.016,0.001,-0.001,0,39.3809000,0.0637000,-0.0636000
966,HD 28192 b,Radial Velocity,2022,14.23283000,0.00214000,-0.00152000,0,0.118000,0.005000,-0.005000,0,12.200,,,0,99.79812,7.62788,-9.85268,0,0.104000,0.042000,-0.023000,0,,,,,,,,,5919.87,140.84,-96.45,0,1.07,0.04,-0.05,0,1.08,0.14,-0.14,0,0.103,0.013,-0.013,0,49.8063000,0.1416000,-0.1409000
967,HD 28254 b,Radial Velocity,2010,1333.00000000,4.00000000,-4.00000000,0,2.450000,0.030000,-0.040000,0,13.000,,,0,1207.74795,953.48522,-699.22250,0,0.950000,0.030000,-0.040000,0,,,,,,,,,5664.00,35.00,-35.00,0,1.48,0.06,-0.06,0,1.10,0.05,-0.05,0,0.340,,,0,55.2884000,0.0936000,-0.0933000
968,HD 285507 b,Radial Velocity,2013,6.08810000,0.00180000,-0.00180000,0,0.060000,0.000000,0.000000,0,13.800,,,0,311.47340,31.78300,-31.78300,0,0.090000,0.020000,-0.020000,0,,,,,,,,,4503.00,73.00,-73.00,0,0.69,0.02,-0.02,0,0.82,0.12,-0.12,0,-0.719,0.003,-0.003,0,45.0293000,0.2440000,-0.2414000
969,HD 285968 b,Radial Velocity,2008,8.78360000,0.00540000,-0.00540000,0,0.066000,,,0,2.830,,,0,8.40000,,,0,0.000000,,,0,,,,,450,,,0,3703.49,32.13,-32.13,0,0.48,0.01,-0.01,0,0.50,,,0,-1.658,,,0,9.4704500,0.0063250,-0.0063250
970,HD 28678 b,Radial Velocity,2011,380.20000000,1.60000000,-1.60000000,0,1.180000,0.200000,-0.200000,0,13.500,,,0,490.09386,23.20159,-23.20159,0,0.149000,0.047000,-0.047000,0,,,,,,,,,4972.00,,,0,6.48,,,0,1.53,,,0,1.360,0.011,-0.012,0,189.9080000,2.3275000,-2.3275000
971,HD 29021 b,Radial Velocity,2017,1362.30000000,4.60000000,-4.00000000,0,2.280000,0.070000,-0.080000,0,12.900,,,0,1420.69298,212.94503,-206.58846,0,0.459000,0.008000,-0.008000,0,,,,,,,,,5560.00,45.00,-45.00,0,0.85,0.09,-0.09,0,0.85,0.08,-0.08,0,-0.181,0.011,-0.011,0,30.9939000,0.0422000,-0.0421000
972,HD 290327 b,Radial Velocity,2009,2443.00000000,160.00000000,-160.00000000,0,3.430000,0.160000,-0.160000,0,13.300,,,0,772.32690,133.48860,-133.48860,0,0.080000,0.050000,-0.050000,0,,,,,,,,,5505.00,63.00,-63.00,0,0.95,0.03,-0.03,0,0.84,0.20,-0.20,0,-0.140,,,0,56.4330000,0.1483000,-0.1474000
973,HD 29399 b,Radial Velocity,2022,892.70000000,5.90000000,-5.90000000,0,1.913000,0.008000,-0.008000,0,13.500,,,0,498.99060,34.96112,-34.96112,0,0.050000,0.050000,-0.050000,0,,,,,,,,,4845.00,52.00,-52.00,0,4.50,0.11,-0.11,0,1.17,0.10,-0.10,0,1.002,0.009,-0.009,0,44.1518000,0.1069000,-0.1069000
974,HD 2952 b,Radial Velocity,2013,312.08000000,1.36000000,-1.69000000,0,1.117000,0.003000,-0.004000,0,13.900,,,0,284.77425,42.27118,-39.72855,0,0.269000,0.165000,-0.150000,0,,,,,,,,,4853.00,,,0,10.90,0.57,-0.81,0,1.91,0.42,-0.22,0,1.768,0.056,-0.050,0,110.1030000,0.6570000,-0.6490000
